Topic,Count,Name,Representation,Representative_Docs
21,172,21_hero_legend_are_you,"['hero', 'legend', 'are', 'you', 'your', 'youre', 'ur', 'superhero', 'heroes', 'man']","['Hero', 'hero', 'W hero']"
22,165,22_profile_picture_who_ryans,"['profile', 'picture', 'who', 'ryans', 'his', 'look', 'looks', 'pic', 'avatar', 'guy']","['Who is the profile picture of', 'who was on his profile picture?', 'Who is the guy on his profile picture?']"
23,162,23_shirt_golf_tyler_wang,"['shirt', 'golf', 'tyler', 'wang', 'creator', 'wearing', '1832', 'merch', '1833', 'fan']","['I like the golf shirt', 'THE GOLF SHIRT? W', 'W golf wang shirt I’m a Tyler fan']"
24,158,24_banned_got_ban_saying,"['banned', 'got', 'ban', 'saying', 'get', 'for', 'they', 'sorry', 'you', 'but']","['Crazy you got banned for this 🙁', 'bro this is why he got banned', 'I got banned for saying “…”']"
25,155,25_voice_actor_voices_acting,"['voice', 'actor', 'voices', 'acting', 'uncomfortable', 'the', 'creepy', 'so', 'actors', 'good']","['THE VOICE-', 'The voice 😢', 'The voice 😭']"
26,155,26_editing_edit_editor_edits,"['editing', 'edit', 'editor', 'edits', 'fire', 'is', 'peak', 'insane', 'amazing', 'good']","['I like the editing!', 'W editing', 'editing is 🔛🔝']"
27,151,27_pfp_who_his_pfps,"['pfp', 'who', 'his', 'pfps', 'the', 'whos', 'guy', 'dahmer', 'was', 'jeffery']","['Who was his pfp', 'who is his pfp', 'who was his pfp']"
28,150,28_pred_preds_sounds_he,"['pred', 'preds', 'sounds', 'he', 'nice', 'hes', 'chill', 'guy', 'if', 'wasnt']","[""If he weren't a pred I'd like the guy."", 'Pred', 'L pred']"
29,149,29_protecting_thank_kids_for,"['protecting', 'thank', 'kids', 'for', 'kid', 'you', 'children', 'thanks', 'im', 'safe']","[""Thank you for protecting me I'm a kid:)"", 'thank you for protecting these kids', 'Thank you for protecting kids']"
30,146,30_free_schlep_schiep_slep,"['free', 'schlep', 'schiep', 'slep', '1801', 'scheiq', 'liike', 'hashtag', 'spelled', 'forcing']","['Free schlep', 'Free schlep', 'Free Schlep']"
31,142,31_game_background_whats_what,"['game', 'background', 'whats', 'what', 'name', 'in', 'the', 'games', 'looks', 'map']","[""what's the game in the background?"", 'What is the game in the background', 'Whats the game in the background']"
32,133,32_discord_server_notifications_notification,"['discord', 'server', 'notifications', 'notification', 'chat', 'me', 'never', 'my', 'have', 'use']","['SCHLEP DISCORD SERVER WHEN', 'Discord pred', 'Do you have a discord?']"
33,130,33_fire_intro_animation_animations,"['fire', 'intro', 'animation', 'animations', 'was', 'that', 'is', 'start', 'beginning', 'the']","['The intro was fire 🔥🔥🔥', 'that is a FIRE intro', 'That intro is fire']"
34,125,34_sclepp_free_shlep_shlepp,"['sclepp', 'free', 'shlep', 'shlepp', 'shclep', 'shchlep', 'shleps', 'shcelp', 'justice', 'thank']","['Free Shlep', 'Free shlep!!!!!!!!!!!!!!!!!!😊', 'FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP FREE SCLEPP']"
35,120,35_decoy_decoys_the_voice,"['decoy', 'decoys', 'the', 'voice', 'how', 'that', 'sound', 'real', 'was', 'to']","['How old is the decoy', 'How of is the decoy', 'can i be a decoy:)']"
36,120,36_sophie_name_names_sophies,"['sophie', 'name', 'names', 'sophies', 'my', 'is', 'named', 'her', 'girl', 'that']","['My name is Sophie bro 💔💔', 'My name is Sophie 💀', 'My name is Sophie…']"
37,120,37_pedo_pedos_he_wasnt,"['pedo', 'pedos', 'he', 'wasnt', 'ped', 'guy', 'if', 'pedophiles', 'chill', 'being']","['I support the pedo', 'bro doesn’t sound like a pedo', 'Why was the pedo so chill']"
38,119,38_cops_cop_police_heck,"['cops', 'cop', 'police', 'heck', 'officer', 'yeah', 'jail', 'officers', 'pull', 'were']","['""Am I going to go to jail for this?""\n\nCop:  ""Heck yeah."" 😆', 'The fact bro asked the cop am I going to jail for this. I loved the cops answer heck yeah', 'The fact bro asked the cop am I going to jail for this. I loved the cops answer heck yeah']"
